Spec,photon-1.0,photon-2.0,photon-3.0,photon-4.0,photon-5.0,photon-6.0,photon-common,photon-dev,photon-master
nftables.spec,,,0.9.6-2,1.0.1-3,1.0.6-4,1.0.6-4,,1.0.6-3,1.0.6-3
nghttp2.spec,1.41.0-2,1.41.0-1,1.57.0-2,1.57.0-2,1.57.0-3,1.57.0-3,,1.48.0-7,1.48.0-7
nginx-ingress.spec,1.1.1-7,1.1.1-15,3.2.0-6,2.3.0-16,2.4.2-16,2.4.2-14,,2.4.2-8,2.4.2-8
nginx.spec,1.16.1-4,1.16.1-6,1.22.0-3,1.26.2-1,1.26.2-4,1.26.2-3,,1.27.1-3,1.27.1-3
nicstat.spec,1.95-2,1.95-2,1.95-3,1.95-3,1.95-4,1.95-4,,1.95-3,1.95-3
ninja-build.spec,1.8.2-1,1.8.2-1,1.8.2-1,1.10.2-2,1.11.1-3,1.11.1-3,,1.11.1-1,1.11.1-1
nmap.spec,,,7.91-2,7.91-5,7.93-9,7.93-9,,7.93-8,7.93-8
nodejs-10.24.0.spec,,10.24.0-1,10.24.0-1,,,,,,
nodejs-8.17.0.spec,,8.17.0-3,8.17.0-2,,,,,,
nodejs-9.11.2.spec,,,9.11.2-3,,,,,,
nodejs.spec,8.11.4-6,12.22.12-1,16.20.2-2,18.20.4-1,22.12.0-2,22.12.0-1,,20.15.1-2,20.15.1-2
nodejs10.spec,10.24.0-1,,,,,,,,
npth.spec,1.3-1,1.3-1,1.6-1,1.6-1,1.6-2,1.6-2,,1.6-1,1.6-1
nspr.spec,4.21-1,4.21-1,4.21-1,4.32-1,4.33-3,4.33-3,,4.35-1,4.35-1
nss-altfiles.spec,2.19.1-2,2.23.0-1,2.23.0-1,2.23.0-1,2.23.0-2,2.23.0-2,,2.23.0-1,2.23.0-1
nss-pam-ldapd.spec,,,0.9.11-1,0.9.11-1,0.9.12-9,0.9.12-9,,0.9.12-8,0.9.12-8
nss.spec,3.44-5,3.44-6,3.44-15,3.72-6,3.78-11,3.78-11,,3.101.2-1,3.101.2-1
ntp.spec,4.2.8p14-4,4.2.8p14-4,4.2.8p16-1,4.2.8p18-2,4.2.8p18-3,4.2.8p18-3,,4.2.8p18-1,4.2.8p18-1
ntpsec.spec,,,1.1.8-3,1.2.2-1,1.2.3-2,1.2.3-2,,1.2.2-3,1.2.2-3
numactl.spec,,,2.0.13-3,2.0.14-3,2.0.16-2,2.0.16-2,,2.0.16-1,2.0.16-1
nvme-cli.spec,,1.5-1,1.6-1,1.12-1,2.3-4,2.3-3,,2.3-2,2.3-2
nxtgn-openssl.spec,,1.1.1o-3,1.1.1o-9,,,,,,
oniguruma.spec,,6.9.3-2,6.9.3-3,6.9.5-1,6.9.8-2,6.9.8-2,,6.9.8-1,6.9.8-1
open-iscsi.spec,,,2.1.1-3,2.1.3-3,2.1.6-3,2.1.6-3,,2.1.6-4,2.1.6-4
open-isns.spec,,,0.100-1,0.101-2,0.101-3,0.101-3,,0.101-4,0.101-4
open-sans-fonts.spec,,,,1.10-1,1.10-2,1.10-2,,1.10-1,1.10-1
open-vm-tools.spec,11.3.5-2,11.3.5-3,12.2.0-5,12.5.0-1,12.5.0-1,12.4.5-2,,12.5.0-1,12.5.0-1
open-vmdk.spec,,,,,0.3.10-2,0.3.10-2,,0.3.8-3,0.3.8-3
openipmi.spec,2.0.24-2,2.0.24-2,2.0.25-2,2.0.29-6,2.0.33-7,2.0.33-7,,2.0.33-7,2.0.33-7
openjdk.spec,1.8.0.262-3,,,,,,,,
openjdk10.spec,1.10.0.23-5,%{jdk_major_version}.%{subversion}-4,1.10.0.23-7,,,,,,
openjdk11_aarch64.spec,,,11.0.12-2,,,,,,
openjdk11.spec,11.0.8-2,11.0.8-2,11.0.20-1,11.0.26-1,11.0.26-1,11.0.20-8,,11.0.26-1,11.0.26-1
openjdk17_aarch64.spec,,,17.0.8-1,,,,,,
openjdk17.spec,,,17.0.8-1,17.0.14-1,17.0.14-1,17.0.13-2,,17.0.14-1,17.0.14-1
openjdk21.spec,,,,21.0.6-1,21.0.6-1,,,21.0.6-1,21.0.6-1
openjdk8_aarch64.spec,,,1.8.0.181-2,1.8.0.312-2,,,,,
openjdk8.spec,,1.8.0.262-3,1.8.0.402-1,1.8.0.442-1,,,,,
openjdk9.spec,1.9.0.181-5,%{jdk_major_version}.%{subversion}-4,,,,,,,
openldap.spec,2.4.57-3,2.4.57-3,2.4.57-4,2.4.57-4,2.6.4-3,2.6.4-3,,2.6.4-3,2.6.4-3
openresty.spec,,,1.21.4.3-1,1.21.4.3-1,1.21.4.3-2,1.21.4.3-2,,1.21.4.1-9,1.21.4.1-9
openscap.spec,,1.2.14-3,1.2.17-5,1.3.4-7,1.3.6-15,1.3.6-15,,1.3.6-17,1.3.6-17
openssh.spec,7.4p1-13,7.5p1-17,7.8p1-18,8.9p1-8,9.3p2-11,9.3p2-11,,9.8p1-2,9.8p1-2
openssl-fips-provider.spec,,,,3.0.8-2,3.0.8-7,3.0.8-7,,3.3.0-5,3.3.0-5
openssl.spec,1.0.2zc-1,1.0.2ze-2,1.0.2zk-1,3.0.15-1,3.0.15-7,3.0.15-6,,3.3.0-4,3.3.0-4
openvswitch.spec,2.6.1-8,2.12.0-5,2.12.0-9,2.14.0-14,3.0.2-4,3.0.2-4,,3.0.2-2,3.0.2-2
ostree.spec,2015.7-7,2017.4-5,2019.2-5,2022.7-2,2023.5-3,2023.5-3,,2023.7-3,2023.7-3
p11-kit.spec,,,0.24.1-2,0.24.1-3,0.24.1-5,0.24.1-4,,0.24.1-3,0.24.1-3
paho-c.spec,,,1.3.9-1,1.3.9-1,1.3.11-2,1.3.11-2,,1.3.11-2,1.3.11-2
pam_tacplus.spec,1.6.1-1,1.6.1-1,1.6.1-1,1.6.1-2,1.6.1-3,1.6.1-3,,1.6.1-2,1.6.1-2
pandoc.spec,,,,,2.19.2-4,2.19.2-4,,2.19.2-1,2.19.2-1
pango.spec,1.40.4-1,1.40.4-1,1.40.4-4,1.41.1-5,1.50.11-7,1.50.11-6,,1.50.11-5,1.50.11-5
parallel.spec,,,,20220622-1,20221122-2,20221122-2,,20221122-1,20221122-1
paramiko.spec,1.17.6-2,2.1.5-3,2.7.2-3,,,,,,
parted.spec,3.2-3,3.2-6,3.5-1,3.5-1,3.5-3,3.5-3,,3.5-2,3.5-2
passwdqc.spec,,,1.4.0-1,1.4.0-1,2.0.2-3,2.0.2-3,,2.0.2-2,2.0.2-2
password-store.spec,,1.7.4-1,1.7.4-1,1.7.4-1,1.7.4-3,1.7.4-3,,1.7.4-1,1.7.4-1
patch.spec,2.7.5-6,2.7.5-9,2.7.6-6,2.7.6-6,2.7.6-8,2.7.6-8,,2.7.6-6,2.7.6-6
pciutils.spec,3.3.1-4,3.5.4-2,3.6.4-3,3.7.0-3,3.9.0-3,3.9.0-3,,3.9.0-2,3.9.0-2
pcre.spec,8.44-1,8.44-1,8.44-2,8.44-4,8.45-5,8.45-5,,8.45-3,8.45-3
pcre2.spec,,,10.40-2,10.40-4,10.40-8,10.40-7,,10.42-3,10.42-3
pcstat.spec,1-9,1-18,1-33,1-29,1-24,1-24,,1-19,1-19
perftest.spec,,,,,4.5.0.20-2,4.5.0.20-2,,4.5.0.20-1,4.5.0.20-1
perl-Canary-Stability.spec,,2012-1,2012-2,2013-1,2013-3,2013-3,,2013-2,2013-2
perl-CGI.spec,4.26-3,4.35-1,4.40-1,4.50-2,4.54-3,4.54-2,,4.54-3,4.54-3
perl-Clone.spec,,,,,,,,0.46-2,0.46-2
perl-common-sense.spec,3.74-3,3.74-2,3.74-3,3.75-1,3.75-3,3.75-3,,3.75-2,3.75-2
perl-Config-IniFiles.spec,2.88-3,2.94-2,3.000000-2,3.000003-1,3.000003-3,3.000003-3,,3.000003-2,3.000003-2
perl-Crypt-SSLeay.spec,,,,,0.72-9,0.72-9,,0.72-10,0.72-10
perl-Data-Dump.spec,,,,,,,,1.25-2,1.25-2
perl-Data-Validate-IP.spec,,,0.27-2,0.30-1,0.30-2,0.30-2,,0.30-1,0.30-1
perl-DBD-SQLite.spec,1.50-7,1.54-5,1.64-3,1.66-2,1.72-4,1.72-4,,1.72-3,1.72-3
perl-DBI.spec,1.634-3,1.636-1,1.641-1,1.643-1,1.643-3,1.643-3,,1.643-2,1.643-2
perl-DBIx-Simple.spec,1.35-3,1.35-2,1.37-1,1.37-3,1.37-5,1.37-5,,1.37-4,1.37-4
perl-Exporter-Tiny.spec,0.042-3,0.044-1,1.002001-1,1.002002-1,1.004004-2,1.004004-2,,1.004004-1,1.004004-1
perl-File-HomeDir.spec,1.00-3,1.00-3,1.004-1,1.004-2,1.006-2,1.006-2,,1.006-1,1.006-1
perl-File-Remove.spec,,,,,,,,1.61-1,1.61-1
perl-File-Which.spec,1.21-3,1.21-2,1.22-1,1.23-1,1.27-2,1.27-2,,1.27-1,1.27-1
perl-HTTP-Date.spec,,,,,,,,6.06-1,6.06-1
perl-HTTP-Message.spec,,,,,,,,6.45-2,6.45-2
perl-IO-Socket-SSL.spec,,,,2.073-2,2.075-2,2.075-2,,,
perl-IPC-Run.spec,,,,,20220807.0-2,20220807.0-2,,,
perl-JSON-Any.spec,,,,,1.39-7,1.39-7,,,
perl-JSON-XS.spec,3.01-3,3.03-1,3.04-1,4.02-1,4.03-2,4.03-2,,4.03-1,4.03-1
perl-JSON.spec,,,,,4.10-2,4.10-2,,,
perl-libintl.spec,,,,,1.32-3,1.32-3,,,
perl-libwww-perl.spec,,,,,,,,6.72-2,6.72-2
perl-List-MoreUtils.spec,0.413-3,0.418-1,0.428-2,0.428-3,0.430-2,0.430-2,,0.430-1,0.430-1
perl-Module-Build.spec,0.4216-3,0.4222-1,0.4224-1,0.4231-1,0.4231-3,0.4231-3,,0.4231-2,0.4231-2
perl-Module-Install.spec,1.16-3,1.18-1,1.19-1,1.19-2,1.19-4,1.19-4,,1.19-4,1.19-4
perl-Module-ScanDeps.spec,1.18-3,1.23-1,1.25-1,1.28-1,1.31-2,1.31-2,,1.31-1,1.31-1
perl-Net-SSLeay.spec,,,,1.90-1,1.92-2,1.92-2,,1.92-2,1.92-2
perl-NetAddr-IP.spec,,,4.079-1,4.079-2,4.079-4,4.079-4,,4.079-3,4.079-3
perl-Object-Accessor.spec,0.48-3,0.48-2,0.48-3,0.48-4,0.48-6,0.48-6,,0.48-5,0.48-5
perl-Parse-Yapp.spec,,,1.21-1,1.21-2,1.21-4,1.21-3,,1.21-4,1.21-4
perl-Path-Class.spec,,,,,0.37-6,0.37-6,,,
perl-Perl4-CoreLibs.spec,,,0.004-1,0.004-2,0.004-4,0.004-4,,0.004-3,0.004-3
perl-TermReadKey.spec,,,,2.38-1,2.38-3,2.38-3,,2.38-2,2.38-2
perl-Try-Tiny.spec,,,,,0.31-2,0.31-2,,,
perl-Types-Serialiser.spec,1.0-3,1.0-2,1.0-3,1.0-4,1.01-2,1.01-2,,1.01-1,1.01-1
perl-URI.spec,,,5.09-1,5.09-1,5.17-2,5.17-2,,5.17-1,5.17-1
perl-WWW-Curl.spec,4.17-5,4.17-5,4.17-7,4.17-9,4.17-10,4.17-10,,4.17-9,4.17-9
perl-YAML-Tiny.spec,1.69-3,1.70-1,1.73-1,1.73-2,1.73-4,1.73-4,,1.73-3,1.73-3
perl-YAML.spec,1.15-3,1.23-1,1.26-1,1.30-1,1.30-3,1.30-3,,1.30-2,1.30-2
perl.spec,5.24.1-6,5.24.1-10,5.28.0-8,5.30.1-7,5.36.0-7,5.36.0-7,,5.36.0-2,5.36.0-2
pgaudit.spec,,,1.5.2-1,,,,,,
pgaudit13.spec,,,,1.5.2-1,1.5.2-4,1.5.2-4,,1.5.2-4,1.5.2-4
pgaudit14.spec,,,,1.6.2-1,1.6.2-4,1.6.2-4,,1.6.2-4,1.6.2-4
pgaudit15.spec,,,,1.7.0-1,1.7.0-4,1.7.0-4,,1.7.0-4,1.7.0-4
pgaudit16.spec,,,,,,,,16.0-1,16.0-1
pgbackrest.spec,,,,2.48-2,2.48-3,2.48-3,,2.48-5,2.48-5
pgbouncer.spec,1.7.2-4,1.7.2-8,1.9.0-3,1.14.0-5,1.17.0-5,1.17.0-5,,1.17.0-5,1.17.0-5
photon-checksum-generator.spec,,,1.2-2,,,,,,
photon-iso-config.spec,,,,4.0-1,5.0-3,5.0-3,,5.0-2,5.0-2
photon-os-container-builder.spec,,,,0.1.1-10,0.1.1-12,0.1.1-12,,0.1.1-7,0.1.1-7
photon-os-installer.spec,,,,2.7-4,2.7-2,2.7-2,,2.7-1,2.7-1
photon-release.spec,,,3.0-6,,,,,,
photon-repos.spec,,2.0-3,3.0-8,4.0-3,,,,,
