Spec,photon-1.0,photon-2.0,photon-3.0,photon-4.0,photon-5.0,photon-6.0,photon-common,photon-dev,photon-master
python-oauthlib.spec,2.0.2-1,2.0.2-3,2.1.0-1,3.1.0-2,3.2.2-2,3.2.2-2,,3.2.2-1,3.2.2-1
python-packaging.spec,,16.8-4,17.1-3,20.4-4,21.3-2,21.3-2,,21.3-2,21.3-2
python-pam.spec,1.8.2-1,1.8.2-2,1.8.2-2,1.8.4-2,2.0.2-2,2.0.2-2,,2.0.2-1,2.0.2-1
python-paramiko.spec,,,,2.10.3-6,2.12.0-7,2.12.0-7,,2.12.0-4,2.12.0-4
python-pathspec.spec,,,,,0.10.1-2,0.10.1-2,,0.10.1-1,0.10.1-1
python-pbr.spec,2.1.0-1,2.1.0-5,4.2.0-2,5.5.1-2,5.10.0-3,5.10.0-3,,5.10.0-1,5.10.0-1
python-pefile.spec,,,2019.4.18-1,,,,,,
python-pexpect.spec,4.2.1-2,4.2.1-2,4.6.0-3,4.8.0-3,4.8.0-4,4.8.0-4,,4.8.0-4,4.8.0-4
python-pika.spec,,,1.2.1-1,1.2.1-1,1.2.1-2,1.2.1-2,,,
python-pip.spec,8.1.2-3,9.0.1-6,18.0-4,,,,,,
python-pkgconfig.spec,,,,,1.5.5-3,1.5.5-3,,1.5.5-2,1.5.5-2
python-platformdirs.spec,,,,,3.10.0-2,3.10.0-2,,3.10.0-1,3.10.0-1
python-pluggy.spec,,,,0.13.1-2,1.0.0-3,1.0.0-3,,1.0.0-1,1.0.0-1
python-ply.spec,3.10-1,3.10-1,3.11-2,3.11-6,3.11-7,3.11-7,,3.11-6,3.11-6
python-portalocker.spec,,,,2.7.0-1,2.8.2-2,2.8.2-2,,2.8.2-1,2.8.2-1
python-prettytable.spec,0.7.2-3,0.7.2-6,0.7.2-6,0.7.2-8,3.3.0-3,3.3.0-3,,3.3.0-2,3.3.0-2
python-prometheus_client.spec,0.0.20-1,0.0.20-2,0.3.1-2,0.8.0-3,0.14.1-2,0.14.1-2,,0.14.1-1,0.14.1-1
python-prompt_toolkit.spec,2.0.8-1,1.0.14-4,2.0.9-1,3.0.8-2,3.0.30-2,3.0.30-2,,3.0.30-2,3.0.30-2
